feature,psi,psi_status,ks_statistic,ks_p_value,ks_drift
var_100,0.0004649758566720269,stable,0.006141666666666601,0.2069525565426138,False
var_74,0.00045898541462029797,stable,0.0054916666666666725,0.3248580615176503,False
var_151,0.00045806130101323664,stable,0.005866666666666687,0.2521204930244817,False
var_57,0.00045480095610388947,stable,0.006099999999999994,0.21336721482697574,False
var_195,0.0004498656475853487,stable,0.0054833333333332845,0.32662378766343014,False
var_28,0.00044675703808329107,stable,0.006025000000000058,0.22529496108860225,False
var_109,0.0004351093812500303,stable,0.004433333333333289,0.5955714510168688,False
var_98,0.0004273026508443824,stable,0.008199999999999985,0.035198372681020884,True
var_84,0.00042550965326859994,stable,0.004591666666666661,0.5502391081162312,False
var_11,0.0004233295726105642,stable,0.0043083333333333584,0.631907653745805,False
var_48,0.0004226944713171981,stable,0.005525000000000002,0.31786021522405883,False
var_127,0.00041720073633478113,stable,0.005549999999999944,0.3126801912451844,False
var_184,0.0004147457051293402,stable,0.004683333333333373,0.5245271281002433,False
var_126,0.00041278091315205903,stable,0.008208333333333317,0.03491058492506793,True
var_13,0.00040488663512675455,stable,0.007933333333333348,0.04557275913890568,True
var_117,0.0004003292884398432,stable,0.005500000000000005,0.32309883895615543,False
var_115,0.00039982585266516756,stable,0.005266666666666642,0.3747993630623626,False
var_54,0.00037978398940698334,stable,0.0037583333333333357,0.7890308896997617,False
var_147,0.0003736826600754093,stable,0.006508333333333338,0.15673747388360515,False
var_97,0.000372207313934188,stable,0.0054833333333332845,0.32662378766343014,False
var_33,0.0003696179799343885,stable,0.006841666666666635,0.1200144976460783,False
var_110,0.00036778230901343277,stable,0.004133333333333322,0.6829926922232314,False
var_135,0.0003660462519991791,stable,0.004158333333333375,0.6757083907265566,False
var_52,0.00035326182317866776,stable,0.00545000000000001,0.33375166852837024,False
var_72,0.0003518845509733032,stable,0.004483333333333339,0.5811511494176462,False
var_156,0.00035131711931431973,stable,0.0061833333333333185,0.20068716979674495,False
var_134,0.00035092832201399243,stable,0.0055333333333333345,0.3161270278540885,False
var_69,0.0003465946822047604,stable,0.007141666666666657,0.09330032467062266,False
var_122,0.00034647869745440553,stable,0.004733333333333339,0.5107050008027645,False
var_174,0.00034225459132564075,stable,0.007258333333333367,0.08434965707466346,False
var_31,0.0003341982927854514,stable,0.006133333333333324,0.20822349287589448,False
var_154,0.0003339772288452332,stable,0.009233333333333316,0.011934353276610283,True
var_192,0.0003323568086336255,stable,0.007583333333333331,0.06314162214693986,False
var_16,0.0003292685692753222,stable,0.003391666666666668,0.8792437751225902,False
var_155,0.0003287431982866296,stable,0.0032416666666666427,0.9097911377459982,False
var_87,0.00032453160469989755,stable,0.004975000000000007,0.44629856118596634,False
var_80,0.0003244104659022929,stable,0.0035750000000000087,0.8365069813045545,False
var_190,0.00031926254758608065,stable,0.004641666666666655,0.5361579330348603,False
