threshold,precision,recall,f1,balanced_accuracy
0.6300000000000001,0.8154589371980676,0.2100024881811396,0.333992876929165,0.6023470654963117
0.6400000000000001,0.8189134808853119,0.2025379447623787,0.32475563534809493,0.5987676522400037
0.6500000000000001,0.8307210031347962,0.19781040059716348,0.3195337620578778,0.5966540121715147
0.6600000000000001,0.8415841584158416,0.19034585717840258,0.3104707792207792,0.5931718724762528
0.6700000000000002,0.84375,0.18138840507588952,0.29858693426172433,0.5888182124320556
0.6800000000000002,0.8486682808716707,0.17442149788504605,0.28937048503611973,0.5854737210666997
0.6900000000000002,0.8525,0.16969395371983081,0.28304627516082176,0.5832072225451381
0.7000000000000002,0.8526315789473684,0.16123413784523513,0.2711864406779661,0.5790606919458798
0.7100000000000002,0.8641456582633054,0.15352077631251554,0.2607225860976125,0.5754124545246189
0.7200000000000002,0.8672566371681416,0.14630505100771335,0.2503725782414307,0.5719018654332638
0.7300000000000002,0.8694267515923567,0.1358546902214481,0.23499031633311815,0.5667878548241839
0.7400000000000002,0.8726655348047538,0.12789251057476983,0.2230902777777778,0.5629040385618909
0.7500000000000002,0.8785714285714286,0.12241851206767852,0.2148940816772221,0.5602643128693914
0.7600000000000002,0.879245283018868,0.11594924110475242,0.20488019344910968,0.5570852622799547
0.7700000000000002,0.8904382470119522,0.11122169693953719,0.19774386197743862,0.5548465562044063
0.7800000000000001,0.8922413793103449,0.10301069917890023,0.1846977470443899,0.5508105384391208
0.7900000000000001,0.8936651583710408,0.098283155013685,0.177090338489128,0.5484884550255329
0.8000000000000002,0.8953771289537713,0.0915650659368002,0.16613995485327313,0.5451849953791169
